카테고리,사원구분,질문유형,질문내용,필수여부,기본질문여부,평가관계
성과,팀원급,5지선다형,평소 맡은 업무를 마감 기한 내에 완성도 있게 잘 마무리합니까?,Y,Y,all
성과,팀원급,5지선다형,처리한 업무에서 잔실수나 오류가 적어 신뢰할 수 있습니까?,Y,Y,all
협업,팀원급,5지선다형,다른 부서나 동료가 도움이 필요할 때 적극적으로 협조해 줍니까?,Y,Y,all
협업,팀원급,5지선다형,업무 상황이나 변경 사항을 관련자들에게 제때 잘 공유해 줍니까?,Y,Y,all
성장,팀원급,5지선다형,새로운 업무나 시스템이 도입될 때 빠르게 이해하고 잘 적응합니까?,Y,Y,all
성장,팀원급,5지선다형,기존 업무 방식의 불편한 점을 그냥 넘기지 않고 개선하려는 모습을 보입니까?,Y,Y,all
조화,팀원급,5지선다형,회사 방침이나 조직 분위기에 잘 융화되며 구성원들과 원만하게 지냅니까?,Y,Y,all
조화,팀원급,5지선다형,일할 때 자신의 주장만 고집하지 않고 타인의 의견을 잘 경청합니까?,Y,Y,all
리더십,팀장/부서장급,5지선다형,팀이 나아갈 방향을 명확히 안내하고 솔선수범하여 이끌어 줍니까?,Y,Y,all
리더십,팀장/부서장급,5지선다형,팀원들에게 업무를 편중되지 않고 공정하게 나누어 줍니까?,Y,Y,all
팀원 육성,팀장/부서장급,5지선다형,팀원들의 애로사항이나 업무적 어려움을 잘 들어주고 해결을 도와줍니까?,Y,Y,all
팀원 육성,팀장/부서장급,5지선다형,팀원들이 자신의 역량을 발휘할 수 있도록 믿고 기회를 줍니까?,Y,Y,all
소통,팀장/부서장급,5지선다형,"회사의 중요 방침을 팀원들에게 잘 설명해 주고, 팀의 의견도 상부에 잘 전달합니까?",Y,Y,all
소통,팀장/부서장급,5지선다형,타 부서와의 업무 마찰이나 이견이 생겼을 때 매끄럽게 조정해 줍니까?,Y,Y,all
전략적 사고,팀장/부서장급,5지선다형,"당장 눈앞의 일뿐만 아니라, 부서 전체의 흐름과 우선순위를 잘 판단합니까?",Y,Y,all
전략적 사고,팀장/부서장급,5지선다형,갑작스러운 업무 환경 변화나 돌발 상황에도 당황하지 않고 대안을 잘 제시합니까?,Y,Y,all
성과,영업소 직원,5지선다형,기상 악화나 사고 등 현장 비상 상황 발생 시 신속하고 침착하게 대응합니까?,Y,Y,all
성과,영업소 직원,5지선다형,돌발 상황 시 현장 지연이나 승객 불편이 최소화되도록 발 빠르게 움직입니까?,Y,Y,all
협업,영업소 직원,5지선다형,본사 지침이나 정비 요청 등 타 부서와의 업무 전달을 차질 없이 처리합니까?,Y,Y,all
협업,영업소 직원,5지선다형,영업소 내 배차 및 일상 운영 업무를 동료들과 잡음 없이 매끄럽게 진행합니까?,Y,Y,all
성장,영업소 직원,5지선다형,궂은일이나 긴급한 현장 상황이 생겼을 때 회피하지 않고 먼저 앞장섭니까?,Y,Y,all
성장,영업소 직원,5지선다형,정해진 현장 안전 수칙 및 영업소 운영 규정을 솔선수범하여 지킵니까?,Y,Y,all
조화,영업소 직원,5지선다형,승객이나 민원인의 불만이 발생했을 때 친절하고 침착하게 대응하여 잘 해결합니까?,Y,Y,all
조화,영업소 직원,5지선다형,배차나 현장 운영 중 승무원분들과 의견 충돌이 생겼을 때 감정적이지 않고 합리적으로 대화해 풀어나갑니까?,Y,Y,all
역량 개발,정비사,5지선다형,신형 차량이나 새로운 정비 기술이 들어왔을 때 잘 숙지하여 작업에 적용합니까?,Y,Y,all
역량 개발,정비사,5지선다형,정비 노하우나 팁을 동료 정비사들과 서로 기꺼이 공유합니까?,Y,Y,all
정비 능력,정비사,5지선다형,정비한 차량이 동일 고장으로 다시 들어오는 일이 적어 정비 결과에 신뢰가 갑니까?,Y,Y,all
정비 능력,정비사,5지선다형,평소 예방 점검을 철저히 하여 운행 중 차량 고장 발생을 미리 잘 막아냅니까?,Y,Y,all
책임/주인의식,정비사,5지선다형,"정비 공구, 부품, 자재를 아껴 쓰고 깨끗하게 잘 관리합니까?",Y,Y,all
책임/주인의식,정비사,5지선다형,자신이 담당한 정비 작업에 대해 끝까지 책임감 있게 마무리를 짓습니까?,Y,Y,all
안전의식,정비사,5지선다형,정비 시 안전 보호구 착용 및 안전 수칙을 철저히 지킵니까?,Y,Y,all
안전의식,정비사,5지선다형,정비 작업 구역을 항상 안전하고 깨끗하게 정돈된 상태로 유지합니까?,Y,Y,all
성과,팀원급,5지선다형,계열사 간 공동 업무에서 맡은 역할과 약속한 기한을 책임감 있게 지킵니까?,Y,Y,affiliate_peer
성과,팀원급,5지선다형,계열사 간 업무의 목적과 우선순위를 이해하고 실질적인 결과에 기여합니까?,Y,Y,affiliate_peer
협업,팀원급,5지선다형,업무 요청과 진행 상황을 명확하게 전달하고 필요한 내용을 원활하게 조율합니까?,Y,Y,affiliate_peer
협업,팀원급,5지선다형,담당 범위가 달라도 필요한 도움을 주고받으며 문제 해결에 협력합니까?,Y,Y,affiliate_peer
성장,팀원급,5지선다형,자신의 업무 경험과 노하우를 계열사 동료에게 이해하기 쉽게 공유합니까?,Y,Y,affiliate_peer
성장,팀원급,5지선다형,계열사 동료의 의견과 업무 방식을 열린 태도로 받아들이고 개선에 활용합니까?,Y,Y,affiliate_peer
조화,팀원급,5지선다형,계열사 동료와 존중하는 태도로 편안한 협업 분위기를 만듭니까?,Y,Y,affiliate_peer
조화,팀원급,5지선다형,소속 회사가 달라도 편견이나 차별 없이 공정하고 예의 있게 대합니까?,Y,Y,affiliate_peer
리더십,팀장/부서장급,5지선다형,부서 간 공동 목표를 위해 책임 범위와 협업 방향을 명확히 제시합니까?,Y,Y,leader_peer
리더십,팀장/부서장급,5지선다형,부서 간 이해관계가 충돌할 때 공동 목표를 기준으로 책임 있게 해결 방향을 제시합니까?,Y,Y,leader_peer
팀원 육성,팀장/부서장급,5지선다형,부서 간 업무 경험과 노하우가 구성원에게 공유되도록 지원합니까?,Y,Y,leader_peer
팀원 육성,팀장/부서장급,5지선다형,부서 간 협업 과정에서 구성원이 배우고 성장하도록 역할과 피드백을 제공합니까?,Y,Y,leader_peer
소통,팀장/부서장급,5지선다형,타 부서장과 진행 상황과 쟁점을 투명하게 공유하고 원활하게 조율합니까?,Y,Y,leader_peer
소통,팀장/부서장급,5지선다형,중요한 변경사항과 지원 필요사항을 적시에 공유하여 타 부서의 혼선을 줄입니까?,Y,Y,leader_peer
전략적 사고,팀장/부서장급,5지선다형,자기 부서만이 아닌 회사 전체 관점에서 합리적인 협업 결정을 합니까?,Y,Y,leader_peer
전략적 사고,팀장/부서장급,5지선다형,부서 간 인력·일정·자원을 고려하여 실행 가능한 대안을 마련합니까?,Y,Y,leader_peer
